2015/11/6 22:3:45  log starts.2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 0, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 1, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 2, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 2, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 3, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 3, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 3, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 3, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 4, ack: 0 , fin: 0 
2015/11/6 22:3:45  20000 , 20001 , Sequence : 0, ACK : 4, ack: 0 , fin: 0 
2015/11/6 22:3:48  20000 , 20001 , Sequence : 0, ACK : 5, ack: 0 , fin: 0 
2015/11/6 22:3:48  20000 , 20001 , Sequence : 0, ACK : 5, ack: 0 , fin: 0 
2015/11/6 22:3:50  20000 , 20001 , Sequence : 0, ACK : 6, ack: 0 , fin: 0 
2015/11/6 22:3:50  20000 , 20001 , Sequence : 0, ACK : 6, ack: 0 , fin: 0 
2015/11/6 22:4:31  log starts.2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 0, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 1, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 2, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 3, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 4, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 5, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 6, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 6, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 6, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 6, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 7, ack: 0 , fin: 0 
2015/11/6 22:4:31  20000 , 20001 , Sequence : 0, ACK : 7, ack: 0 , fin: 0 
2015/11/6 22:4:33  20000 , 20001 , Sequence : 0, ACK : 8, ack: 0 , fin: 0 
2015/11/6 22:4:33  20000 , 20001 , Sequence : 0, ACK : 8, ack: 0 , fin: 0 
2015/11/6 22:4:35  20000 , 20001 , Sequence : 0, ACK : 9, ack: 0 , fin: 0 
2015/11/6 22:4:39  20000 , 20001 , Sequence : 0, ACK : 10, ack: 0 , fin: 0 
2015/11/6 22:4:39  20000 , 20001 , Sequence : 0, ACK : 10, ack: 0 , fin: 0 
2015/11/6 22:4:41  20000 , 20001 , Sequence : 0, ACK : 11, ack: 0 , fin: 0 
2015/11/6 22:4:41  20000 , 20001 , Sequence : 0, ACK : 11, ack: 0 , fin: 0 
2015/11/6 22:4:43  20000 , 20001 , Sequence : 0, ACK : 12, ack: 0 , fin: 0 
2015/11/6 22:4:46  20000 , 20001 , Sequence : 0, ACK : 13, ack: 0 , fin: 0 
2015/11/6 22:4:49  20000 , 20001 , Sequence : 0, ACK : 14, ack: 0 , fin: 0 
2015/11/6 22:4:49  20000 , 20001 , Sequence : 0, ACK : 14, ack: 0 , fin: 0 
2015/11/6 22:4:51  20000 , 20001 , Sequence : 0, ACK : 15, ack: 0 , fin: 0 
2015/11/6 22:4:51  20000 , 20001 , Sequence : 0, ACK : 15, ack: 0 , fin: 0 
2015/11/6 22:4:52  20000 , 20001 , Sequence : 0, ACK : 16, ack: 0 , fin: 0 
2015/11/6 22:4:53  20000 , 20001 , Sequence : 0, ACK : 17, ack: 0 , fin: 0 
2015/11/6 22:4:53  20000 , 20001 , Sequence : 0, ACK : 17, ack: 0 , fin: 0 
2015/11/6 22:4:54  20000 , 20001 , Sequence : 0, ACK : 18, ack: 0 , fin: 0 
2015/11/6 22:4:54  20000 , 20001 , Sequence : 0, ACK : 18, ack: 0 , fin: 0 
2015/11/6 22:4:55  20000 , 20001 , Sequence : 0, ACK : 19, ack: 0 , fin: 0 
2015/11/6 22:4:55  20000 , 20001 , Sequence : 0, ACK : 19, ack: 0 , fin: 0 
2015/11/6 22:4:56  20000 , 20001 , Sequence : 0, ACK : 20, ack: 0 , fin: 0 
2015/11/6 22:4:56  20000 , 20001 , Sequence : 0, ACK : 20, ack: 0 , fin: 0 
2015/11/6 22:4:57  20000 , 20001 , Sequence : 0, ACK : 21, ack: 0 , fin: 0 
2015/11/6 22:4:57  20000 , 20001 , Sequence : 0, ACK : 21, ack: 0 , fin: 0 
2015/11/6 22:4:59  20000 , 20001 , Sequence : 0, ACK : 22, ack: 0 , fin: 0 
2015/11/6 22:4:59  20000 , 20001 , Sequence : 0, ACK : 22, ack: 0 , fin: 0 
2015/11/6 22:4:59  20000 , 20001 , Sequence : 0, ACK : 23, ack: 0 , fin: 0 
2015/11/6 22:5:0  20000 , 20001 , Sequence : 0, ACK : 24, ack: 0 , fin: 0 
2015/11/6 22:5:0  20000 , 20001 , Sequence : 0, ACK : 24, ack: 0 , fin: 0 
2015/11/6 22:5:0  20000 , 20001 , Sequence : 0, ACK : 25, ack: 0 , fin: 0 
2015/11/6 22:5:0  20000 , 20001 , Sequence : 0, ACK : 25, ack: 0 , fin: 0 
2015/11/6 22:5:0  20000 , 20001 , Sequence : 0, ACK : 26, ack: 0 , fin: 0 
2015/11/6 22:5:0  20000 , 20001 , Sequence : 0, ACK : 26, ack: 0 , fin: 0 
2015/11/6 22:5:1  20000 , 20001 , Sequence : 0, ACK : 27, ack: 0 , fin: 0 
2015/11/6 22:5:1  20000 , 20001 , Sequence : 0, ACK : 27, ack: 0 , fin: 0 
2015/11/6 22:5:1  20000 , 20001 , Sequence : 0, ACK : 28, ack: 0 , fin: 0 
2015/11/6 22:5:1  20000 , 20001 , Sequence : 0, ACK : 28, ack: 0 , fin: 0 
2015/11/6 22:5:1  20000 , 20001 , Sequence : 0, ACK : 29, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 29, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 30, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 30, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 31, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 31, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 32, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 32, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 33, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 33, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 34, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 34, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 35, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 35, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 36, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 37, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 37, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 38, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 38, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 39, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 39, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 40, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 40, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 41, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 41, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 42, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 42, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 43, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 43, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 44, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 44, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 45, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 45, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 46, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 46, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 47, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 47, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 48, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 49, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 49, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 50, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 51, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 52, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 52, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 53, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 53, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 54, ack: 0 , fin: 0 
